=== CFS input values ===
num_process = 10
sched_latency = 48
min_granularity = 6
burst_time = [10,20,30,40,50,60,70,80,90,100]
nice_value = [0,0,0,0,0,0,0,0,0,0]
=== CFS algorithm ===
=== Step 0 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	10	6	0.00
P1	1024	20	6	0.00
P2	1024	30	6	0.00
P3	1024	40	6	0.00
P4	1024	50	6	0.00
P5	1024	60	6	0.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 1 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	20	6	0.00
P2	1024	30	6	0.00
P3	1024	40	6	0.00
P4	1024	50	6	0.00
P5	1024	60	6	0.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 2 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	30	6	0.00
P3	1024	40	6	0.00
P4	1024	50	6	0.00
P5	1024	60	6	0.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 3 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	40	6	0.00
P4	1024	50	6	0.00
P5	1024	60	6	0.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 4 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	50	6	0.00
P5	1024	60	6	0.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 5 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	60	6	0.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 6 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	70	6	0.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
P9	1024	100	6	0.00
=== Step 7 ===
Process	Weight	Remain	Slice	vruntime
P0	1024	4	6	6.00
P1	1024	14	6	6.00
P2	1024	24	6	6.00
P3	1024	34	6	6.00
P4	1024	44	6	6.00
P5	1024	54	6	6.00
P6	1024	64	6	6.00
P7	1024	80	6	0.00
P8	1024	90	6	0.00
